month,revenue,previous_month_revenue,mom_change
2024-12,498925.38,617754.79,-118829.41
2024-11,617754.79,469034.93,148719.86
2024-10,469034.93,488319.32,-19284.39
2024-09,488319.32,634880.2,-146560.88
2024-08,634880.2,540970.15,93910.05
2024-07,540970.15,505799.45,35170.7
2024-06,505799.45,524473.66,-18674.21
2024-05,524473.66,441579.22,82894.44
2024-04,441579.22,480614.54,-39035.32
2024-03,480614.54,405448.87,75165.67
2024-02,405448.87,461575.33,-56126.46
2024-01,461575.33,442763.21,18812.12
2023-12,442763.21,448991.43,-6228.22
2023-11,448991.43,332934.6,116056.83
2023-10,332934.6,453130.67,-120196.07
2023-09,453130.67,284945.04,168185.63
2023-08,284945.04,368790.81,-83845.77
2023-07,368790.81,353411.49,15379.32
2023-06,353411.49,455803.79,-102392.3
2023-05,455803.79,235170.3,220633.49
2023-04,235170.3,305047.47,-69877.17
2023-03,305047.47,268679.82,36367.65
2023-02,268679.82,254721.02,13958.8
2023-01,254721.02,310250.64,-55529.62
