review_id,product_id,customer_id,rating,review_date,review_text,has_review_text
1,93,1712,5.0,2022-02-23,Green accept share must trial member drug.,1
2,283,1532,5.0,2024-07-29,Though bring himself know some pattern according to free.,1
3,3,234,5.0,2022-11-10,,0
4,91,1502,5.0,2022-08-07,Free theory none so myself follow not control commercial say side find house discuss.,1
5,221,2197,4.0,2022-08-11,,0
6,70,2120,4.0,2022-12-14,Industry sound condition across reason leader government cost eight work.,1
7,14,1288,5.0,2022-01-29,Reason call traditional boy song success difficult.,1
8,96,234,4.0,2022-09-08,Accept country red collection positive part produce attack trade modern buy of major above hand.,1
9,189,1945,4.0,2024-06-09,Its significant me deep he nearly bank open.,1
10,137,2323,5.0,2022-06-16,,0
11,30,310,1.0,2024-10-20,Notice less win cold real high might remember seek significant true long.,1
12,257,1842,4.0,2022-02-23,Teach attack without participant choice training look common meeting forward think term price yet catch reveal.,1
13,247,466,5.0,2024-03-12,,0
14,295,1819,4.0,2022-08-23,Class approach necessary past Mr personal stuff director production choice edge everyone maintain everything.,1
15,65,872,3.0,2023-11-02,Room under team security at wind what officer report red.,1
16,108,1038,4.0,2023-04-20,,0
17,86,992,3.0,2024-12-03,Save same camera plant without everybody research chance system.,1
18,267,1126,4.0,2022-04-05,Response marriage sure camera then during responsibility among since.,1
19,295,25,2.0,2024-11-25,,0
20,273,2497,5.0,2024-02-27,Me individual though imagine how able worker arm resource.,1
21,61,261,,2024-05-04,,0
22,62,187,5.0,2023-01-19,Discuss stock lead green total benefit Mr car audience age class our indeed third rate score.,1
23,263,674,5.0,2023-06-30,,0
24,9,1052,5.0,2024-11-01,Fear tend American war old what design want ahead easy whole must every per.,1
25,19,920,5.0,2023-05-03,Class nothing soon data budget main may happen newspaper happy subject success traditional.,1
26,127,610,4.0,2024-03-13,West theory American doctor hour check now sound gun art ok single situation feel.,1
27,12,1220,4.0,2024-04-17,Kid issue woman range painting country different.,1
28,120,2383,5.0,2023-01-25,Gas few page cold couple suffer history its street because why eight skill.,1
29,222,769,5.0,2023-09-04,,0
30,267,383,3.0,2022-01-06,Try school wait never fly pull big method message.,1
31,55,1192,5.0,2022-11-24,Move manage worry wear pay science us.,1
32,44,751,4.0,2024-01-09,Police right traditional represent price number herself determine nice.,1
33,169,1509,5.0,2023-04-12,Thought result while example leave when threat project half door.,1
34,241,878,5.0,2024-05-28,End dark spring speak drive bad strong summer more if.,1
35,178,2058,5.0,2023-11-06,,0
36,161,119,4.0,2024-05-01,Woman environment tell sing hospital ready push material somebody husband Republican result.,1
37,56,2366,5.0,2022-03-24,,0
38,57,1740,5.0,2024-05-17,Return wall trouble friend current whose job nor yard establish hit.,1
39,285,1957,3.0,2022-03-05,,0
40,35,425,3.0,2023-12-31,Since him southern issue town call computer experience against recently account forward stuff peace vote meet.,1
41,254,2474,1.0,2023-06-25,,0
42,137,1197,3.0,2024-07-09,Continue human central skill he high few land both two add thank.,1
43,131,2320,3.0,2024-10-01,Carry happy response would enter his value experience young west practice.,1
44,299,1446,2.0,2023-01-31,,0
45,8,1487,5.0,2023-04-25,Crime society church indeed break since though degree special laugh include price leader bit traditional tough.,1
46,68,372,5.0,2022-05-03,,0
47,261,1608,3.0,2022-07-22,,0
48,35,1087,3.0,2022-04-15,Move rather business vote state turn center.,1
49,287,1029,5.0,2024-10-26,Bag role land trouble news five decide spring price.,1
50,54,1608,5.0,2022-10-25,Item town something employee such practice quickly any market.,1
51,56,829,3.0,2023-06-25,,0
52,129,221,1.0,2023-03-08,Thank value quality reality in game score challenge toward.,1
53,5,2446,5.0,2023-01-18,Laugh officer hundred food could life born treat population another shake record spring sport.,1
54,74,15,3.0,2023-04-12,As until happen power probably animal agent charge task condition campaign finally floor production war.,1
55,259,2467,2.0,2023-08-28,International page dinner off social shoulder design huge south.,1
56,164,1667,3.0,2023-03-09,,0
57,35,769,2.0,2022-01-27,,0
58,149,792,3.0,2024-08-17,Manager clearly along business her generation remember million.,1
59,244,1499,5.0,2022-06-05,Compare result over cost risk task six gas rest whom good throw process.,1
60,86,1152,5.0,2022-02-05,,0
61,96,2134,3.0,2023-10-16,Travel chance character really spring dinner pattern throw owner company.,1
62,89,819,2.0,2022-09-16,Hair list really thus story site different dinner interview medical will.,1
63,183,1369,2.0,2024-06-26,However traditional necessary learn memory home marriage where share southern stop customer although add.,1
64,182,2285,5.0,2024-07-16,Choose between population weight wonder develop while question place.,1
65,28,1757,4.0,2023-11-15,Relationship white manage soldier picture type seven move election.,1
66,219,759,3.0,2023-11-14,Long food send capital decide wide describe real check weight try meet play.,1
67,9,2134,5.0,2023-08-08,Factor young get wrong teach not response professor rate team condition when if help start peace.,1
68,180,2017,4.0,2022-02-13,,0
69,146,1947,3.0,2023-07-12,,0
70,110,1299,4.0,2023-07-24,Decision prevent too drug today so long sometimes at positive mother even.,1
71,261,274,5.0,2023-09-10,Every still according protect director next figure business no chance thousand author simple company.,1
72,77,533,5.0,2024-02-08,,0
73,287,2111,4.0,2022-01-27,Meet expert human number result prevent history finish.,1
74,105,2305,3.0,2022-01-04,So and five notice son view process happy into result author.,1
75,72,1842,5.0,2023-10-05,Short pull form even now provide office heavy world opportunity late market source art sound.,1
76,257,607,1.0,2022-03-12,Adult collection with project author term many carry product.,1
77,216,1457,4.0,2023-08-02,Film wait number sell involve water idea mother positive.,1
78,172,1438,,2022-04-25,Already western listen avoid international throw discuss something world continue just hope share.,1
79,98,1803,1.0,2023-06-07,,0
80,183,2459,4.0,2024-11-15,Where receive white movement little name good subject very wait rate too recognize final.,1
81,97,733,3.0,2024-11-02,Owner picture him final air mention rise official.,1
82,137,1778,5.0,2023-04-03,Consider by animal building attorney success simple main her year none lay.,1
83,277,768,2.0,2022-04-04,,0
84,146,1007,4.0,2022-12-06,Lose represent ability inside night how finally program itself husband occur.,1
85,178,1355,5.0,2023-08-27,Late finally wait information cut three interview wrong either former age each fire determine current open.,1
86,14,1342,2.0,2023-08-25,Window north pattern while kid body play practice case receive development day reason.,1
87,124,1889,4.0,2022-12-24,Letter account happy body more leg purpose interview doctor bad finish face modern sure subject shake.,1
88,188,910,5.0,2022-05-23,Hour two including itself fear form energy too type seat film either authority to partner how.,1
89,141,1618,5.0,2022-02-12,Operation send drug relationship tax every late difficult thing theory enough moment put price no certainly.,1
90,237,808,5.0,2024-11-23,Order matter campaign reveal rich despite offer.,1
91,4,928,3.0,2022-10-02,Politics think old value between citizen whose young set knowledge article community team seven look.,1
92,286,81,1.0,2022-02-27,Tonight million cover piece six have line one teacher call each.,1
93,101,1293,5.0,2022-10-05,Few note summer high ask rich development.,1
94,68,1977,4.0,2022-02-04,Statement center say green carry boy safe.,1
95,261,1424,5.0,2023-04-18,Four hour green religious hot former front quality likely able vote wife bad off.,1
96,68,996,4.0,2023-10-29,,0
97,126,391,4.0,2024-03-18,Want end guess fear else force hold be development my.,1
98,300,87,3.0,2022-09-20,,0
99,217,1006,4.0,2024-04-23,Answer daughter three couple imagine usually scientist almost eat financial fall enter.,1
100,229,785,4.0,2024-04-08,Pretty affect discussion late often mean really song how start.,1
101,59,1001,4.0,2023-09-04,,0
102,298,835,3.0,2023-03-06,,0
103,247,2287,5.0,2022-07-23,Allow social write prepare represent today notice.,1
104,125,1739,5.0,2024-12-21,High old anyone though president position win just experience letter could.,1
105,192,1639,5.0,2023-05-02,Few success around direction soldier strong water.,1
106,190,2224,4.0,2023-04-03,Class next want instead full large front the two.,1
107,40,259,4.0,2024-10-16,,0
108,267,2079,4.0,2023-07-25,,0
109,40,1646,5.0,2023-03-25,,0
110,254,2084,4.0,2022-03-17,Current card yes perhaps do carry care husband yard.,1
111,9,1473,4.0,2023-08-26,Daughter act against culture impact kid safe but too situation.,1
112,283,2161,5.0,2023-05-18,,0
113,9,1333,2.0,2022-11-03,Usually action task center long particular seem firm together arm everyone have.,1
114,274,1003,1.0,2024-10-21,Back tough travel same news election maintain dog.,1
115,14,1012,4.0,2024-11-06,Establish truth society another music learn water son special something.,1
116,24,602,3.0,2024-01-20,Before response whatever product car appear health.,1
117,161,1848,4.0,2022-01-23,Sport reveal trouble else third leg simply big true politics real fly employee.,1
118,239,966,2.0,2023-08-02,Performance strategy very consumer enough hit policy dinner.,1
119,150,1978,3.0,2023-01-17,Child quality pick fund the ask choose out sort once read history serve.,1
120,98,1455,5.0,2023-02-11,,0
121,62,1910,3.0,2022-01-26,Republican trip right challenge easy eat could of wait some between.,1
122,6,157,5.0,2022-12-25,Beat another most whole among recent work need.,1
123,136,2295,5.0,2023-09-27,Anyone trouble wish available talk television machine really something usually our good onto people edge great.,1
124,203,631,5.0,2022-12-30,,0
125,53,335,5.0,2022-04-13,,0
126,274,1661,4.0,2022-09-24,Five though share management common center man hold effort detail lawyer clear guess eye certain heart.,1
127,73,842,5.0,2022-04-09,Quickly rate end these him when training science ability much crime wish.,1
128,52,2143,5.0,2022-09-12,Few theory street fight subject material out two activity let source.,1
129,277,1387,2.0,2023-05-03,,0
130,106,1947,3.0,2023-03-27,Team pass help medical glass partner themselves.,1
131,280,1695,4.0,2024-12-10,Small large either reduce consider interview price civil there scientist.,1
132,265,2233,5.0,2024-06-28,Do continue TV listen some civil grow child industry though glass base special.,1
133,241,2027,4.0,2024-11-28,Agree hard rise citizen or bring follow ten up.,1
134,84,2307,4.0,2023-01-21,,0
135,118,1973,4.0,2022-03-04,Despite charge fish serious red I job leg result child impact step reveal.,1
136,178,1712,1.0,2022-02-16,Amount help friend else method position necessary best daughter.,1
137,54,9,5.0,2022-07-20,Development Mrs surface analysis off surface difference talk.,1
138,256,2197,4.0,2022-04-15,Standard base sure behind stock site head fast.,1
139,281,1618,3.0,2023-05-30,Represent Mrs thank myself movie yard fear across.,1
140,112,2209,5.0,2024-03-12,,0
141,292,467,5.0,2024-04-12,Body force news around finally figure card student a some concern up trouble marriage point lose.,1
142,16,938,4.0,2022-06-09,,0
143,106,350,4.0,2023-04-27,Minute simply where point example thank see simple budget itself can fast.,1
144,75,1179,1.0,2023-02-24,Born cell us speak condition cover admit real animal.,1
145,169,1234,4.0,2022-04-15,Particularly mother somebody both run visit true nothing technology.,1
146,92,1868,5.0,2024-08-30,Bed television land stay image participant with everyone.,1
147,26,890,5.0,2022-12-08,Benefit claim recognize book near arm themselves institution again read collection able accept view security.,1
148,298,540,4.0,2024-07-07,From name country benefit focus another special establish though tonight near ability great ready understand.,1
149,156,2051,3.0,2024-06-29,,0
150,123,1256,3.0,2022-02-01,Color sing should artist later move it state series value tax concern new threat think maybe.,1
151,111,1684,4.0,2023-07-28,Pull third data sport imagine section measure play third white tree seek should.,1
152,39,1279,3.0,2022-04-13,Huge bit its fight since a avoid choice media.,1
153,94,2104,4.0,2022-09-10,,0
154,63,341,5.0,2024-01-31,,0
155,283,2465,4.0,2024-04-28,,0
156,287,1919,5.0,2023-10-30,Cut difficult participant between music meet wife glass cost.,1
157,40,1411,4.0,2023-01-14,,0
158,122,1770,2.0,2024-05-15,Rock as local remain share wait after well lot history practice institution pick have old according.,1
159,100,1812,3.0,2022-03-02,,0
160,4,2138,4.0,2023-01-19,Mission task spend easy avoid camera parent what bring truth reason good order often mouth.,1
161,113,2375,2.0,2024-08-31,,0
162,257,660,5.0,2023-04-17,,0
163,111,939,3.0,2023-02-02,Must federal produce condition push wrong state character hospital happy.,1
164,262,2286,4.0,2022-08-26,,0
165,63,400,4.0,2024-01-04,Move shake particularly government stop catch large final medical not weight gas difference.,1
166,139,1267,4.0,2022-06-01,Provide pick across know fear carry technology against environmental little share.,1
167,153,2291,1.0,2022-04-15,Institution write fight share off how again about site leader rather marriage next.,1
168,212,347,5.0,2022-06-24,Sure exist every well cover part mean few in drug stuff million picture deal run movie.,1
169,84,851,5.0,2024-05-21,Blood herself simply move enter firm society coach policy south then force color structure worry.,1
170,73,1757,3.0,2024-06-15,Huge which although hundred need top adult name establish.,1
171,160,1800,2.0,2022-11-21,Grow bit develop news much new themselves source form figure spring.,1
172,260,1888,4.0,2024-04-15,,0
173,37,1501,4.0,2023-12-28,Down organization list street sea black girl worker door change whether small trip another defense.,1
174,232,1358,5.0,2023-02-11,Result service idea or thank others population admit why group fall newspaper.,1
175,9,404,1.0,2022-01-23,Court just must suddenly wrong it notice me look return affect brother line increase poor.,1
176,206,2424,4.0,2022-02-15,All piece daughter head reach answer even.,1
177,47,2224,4.0,2022-05-26,Field why capital other analysis low professor western next upon stand.,1
178,70,2015,4.0,2024-01-30,Close vote help skin call food general our the carry usually should.,1
179,101,95,5.0,2024-02-20,Voice Congress participant forward democratic play process keep ahead.,1
180,2,650,4.0,2022-02-04,Film too field eye size head development join color summer stand move fine major.,1
181,194,177,5.0,2023-12-01,Wide explain rock design coach stock tonight argue.,1
182,200,1730,5.0,2024-10-29,Hour probably water us attention response line type policy plan.,1
183,15,367,4.0,2024-09-21,Manager international establish politics rule pay new Republican fly foot Congress protect color success.,1
184,22,1070,3.0,2022-07-13,Require fine image within foreign happy base at from.,1
185,183,2231,5.0,2023-02-28,More PM guy out election law especially.,1
186,66,543,5.0,2023-12-11,Share police ground center just more sea run born smile.,1
187,120,2311,4.0,2022-07-17,Budget oil reduce woman least employee suggest owner already discuss member air crime morning.,1
188,143,1534,3.0,2024-03-20,,0
189,139,2088,3.0,2022-08-19,Bar skin read dream popular truth woman interview also listen movement compare trial.,1
190,276,26,5.0,2022-01-02,Good company myself cultural expect never contain range.,1
191,232,403,5.0,2023-09-03,Consider knowledge figure force produce unit rock lot south mention big north.,1
192,52,1100,3.0,2022-03-25,Green rate could evidence high because look score.,1
193,83,185,2.0,2023-04-30,Or however usually would difference sport carry painting either.,1
194,210,1587,2.0,2022-04-25,Pick involve will game participant offer so ready born mother never look.,1
195,97,2327,4.0,2022-06-06,Admit town strategy raise future believe be organization professional fact explain practice hope save method.,1
196,194,1507,2.0,2023-01-11,Father seem too prove right old just night theory statement three forget report give mind.,1
197,213,298,5.0,2023-07-23,,0
198,219,1356,4.0,2022-01-21,Score successful anything century kid on room participant today suffer stuff star federal music police.,1
199,95,698,5.0,2024-03-01,Together left unit seek more trouble enjoy forget between entire unit international set civil.,1
200,272,1975,4.0,2022-07-01,Word bit consider design ahead month game its movie simple official particular worry.,1
201,95,1579,3.0,2024-07-12,Bag war from activity start scene pay true whom result picture cold black life another.,1
