product_id,name,category,subcategory,unit_price,cost,price_outlier_db,sku,item_name,dept,list_price_usd,supplier_cost,in_stock_units,price_outlier_cat,_merge
1.0,Black Camera,Electronics,Cameras,433.54,224.24,False,1.0,Black Camera,Electronics,440.6266121051296,224.24,270.0,False,both
2.0,Maintain Laptop,Electronics,Laptops,807.37,351.48,False,2.0,Maintain Laptop,Electronics,794.8056489665487,351.48,16.0,False,both
3.0,Start Accessorie,Electronics,Accessories,978.72,367.95,False,3.0,Start Accessorie,Electronics,1009.6660840308892,367.95,91.0,False,both
4.0,Movement Headphone,Electronics,Headphones,17.97,12.57,False,,,,,,,,left_only
5.0,Yeah Smartphone,Electronics,Smartphones,503.34,180.1,False,5.0,Yeah Smartphone,Electronics,524.449133438593,180.1,161.0,False,both
6.0,Important Laptop,Electronics,Laptops,531.19,192.72,False,,,,,,,,left_only
7.0,Beyond Accessorie,Electronics,Accessories,357.42,167.06,False,7.0,Beyond Accessorie,Electronics,359.0951031936047,167.06,104.0,False,both
8.0,Plant Smartphone,Electronics,Smartphones,295.82,122.24,False,8.0,Plant Smartphone,Electronics,289.99422677459245,122.24,489.0,False,both
9.0,Right Laptop,Electronics,Laptops,66.57,26.82,False,9.0,Right Laptop,Electronics,67.34849674358524,26.82,5.0,False,both
10.0,After Laptop,Electronics,Laptops,309.24,235.47,False,10.0,After Laptop,Electronics,306.0290641122288,235.47,474.0,False,both
11.0,Change Smartphone,Electronics,Smartphones,216.27,129.85,False,11.0,Change Smartphone,Electronics,218.16398756169224,129.85,46.0,False,both
12.0,Get Smartphone,Electronics,Smartphones,156.75,77.9,False,12.0,Get Smartphone,Electronics,163.4162311099779,77.9,238.0,False,both
13.0,Support Headphone,Electronics,Headphones,152.16,71.45,False,,,,,,,,left_only
14.0,Find Headphone,Electronics,Headphones,90.93,61.01,False,14.0,Find Headphone,Electronics,90.07089876314174,61.01,12.0,False,both
15.0,Sea Headphone,Electronics,Headphones,536.46,192.64,False,15.0,Sea Headphone,Electronics,535.3471062451271,192.64,50.0,False,both
16.0,Yes Smartphone,Electronics,Smartphones,245.66,101.09,False,,,,,,,,left_only
17.0,Light Laptop,Electronics,Laptops,953.82,375.23,False,,,,,,,,left_only
18.0,Rest Camera,Electronics,Cameras,35.67,20.03,False,18.0,Rest Camera,Electronics,36.7172909851647,20.03,423.0,False,both
19.0,Improve Smartphone,Electronics,Smartphones,727.02,269.65,False,19.0,Improve Smartphone,Electronics,750.2348585350576,269.65,23.0,False,both
20.0,Arm Accessorie,Electronics,Accessories,548.49,335.04,False,20.0,Arm Accessorie,Electronics,545.4342392825207,335.04,182.0,False,both
21.0,Right Camera,Electronics,Cameras,614.24,247.11,False,21.0,Right Camera,Electronics,611.6941328170767,247.11,216.0,False,both
22.0,Scientist Smartphone,Electronics,Smartphones,205.71,98.81,False,22.0,Scientist Smartphone,Electronics,215.6565756530213,98.81,461.0,False,both
23.0,Cost Headphone,Electronics,Headphones,235.35,174.8,False,23.0,Cost Headphone,Electronics,231.54836356900927,174.8,39.0,False,both
24.0,Concern Headphone,Electronics,Headphones,696.97,282.68,False,24.0,Concern Headphone,Electronics,731.2565638670629,282.68,55.0,False,both
25.0,Protect Headphone,Electronics,Headphones,282.92,149.7,False,25.0,Protect Headphone,Electronics,284.6366520186707,149.7,132.0,False,both
26.0,Agent Laptop,Electronics,Laptops,259.69,123.49,False,26.0,Agent Laptop,Electronics,268.03345970858004,123.49,364.0,False,both
27.0,Into Laptop,Electronics,Laptops,686.85,342.59,False,,,,,,,,left_only
28.0,Series Accessorie,Electronics,Accessories,749.19,279.01,False,28.0,Series Accessorie,Electronics,745.7388174284612,279.01,402.0,False,both
29.0,Pressure Accessorie,Electronics,Accessories,103.82,57.5,False,29.0,Pressure Accessorie,Electronics,103.43287935896892,57.5,251.0,False,both
30.0,Hospital Laptop,Electronics,Laptops,477.17,214.5,False,30.0,Hospital Laptop,Electronics,497.31639655438255,214.5,118.0,False,both
31.0,Wide Laptop,Electronics,Laptops,976.57,373.86,False,31.0,Wide Laptop,Electronics,970.2493794774008,373.86,430.0,False,both
32.0,East Smartphone,Electronics,Smartphones,338.4,127.28,False,,,,,,,,left_only
33.0,Forward Accessorie,Electronics,Accessories,217.73,78.93,False,33.0,Forward Accessorie,Electronics,216.28870045064545,78.93,298.0,False,both
