customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
1,372.0,3.0,2286.3675,1,2,2,5,At Risk
2,79.0,4.0,4199.6345,4,3,3,10,Loyal
3,279.0,6.0,12657.7395,2,5,5,12,Loyal
4,780.0,1.0,19.76,1,1,1,3,Lost
5,72.0,2.0,4109.392999999999,4,1,3,8,Potential
6,228.0,2.0,2172.744,2,1,2,5,At Risk
7,153.0,1.0,1670.3825000000002,3,1,1,5,At Risk
8,279.0,2.0,1667.8355,2,1,1,4,Lost
9,88.0,3.0,3782.5240000000003,4,2,3,9,Potential
10,79.0,2.0,1687.6754999999998,4,1,1,6,At Risk
11,131.0,4.0,3296.6220000000003,3,3,3,9,Potential
12,384.0,4.0,3659.6265,1,3,3,7,Potential
13,149.0,5.0,6099.497500000001,3,4,4,11,Loyal
14,152.0,3.0,5678.883500000001,3,2,4,9,Potential
15,68.0,4.0,4889.536499999999,4,3,4,11,Loyal
16,384.0,2.0,970.8525,1,1,1,3,Lost
17,661.0,4.0,6691.3005,1,3,5,9,Potential
18,121.0,7.0,8096.987000000001,3,5,5,13,Champions
19,401.0,1.0,668.148,1,1,1,3,Lost
20,1.0,3.0,3488.1800000000003,5,2,3,10,Loyal
21,93.0,4.0,4452.824999999999,4,3,4,11,Loyal
22,197.0,2.0,455.3315,3,1,1,5,At Risk
23,172.0,4.0,12011.249,3,3,5,11,Loyal
24,5.0,3.0,5007.221,5,2,4,11,Loyal
25,2.0,4.0,4424.398,5,3,4,12,Loyal
26,355.0,4.0,4036.4880000000003,2,3,3,8,Potential
27,249.0,4.0,6731.450500000001,2,3,5,10,Loyal
28,116.0,2.0,1337.9285,3,1,1,5,At Risk
29,416.0,5.0,37871.90549999999,1,4,5,10,Loyal
30,52.0,2.0,4031.8635,4,1,3,8,Potential
31,615.0,2.0,1405.864,1,1,1,3,Lost
32,370.0,1.0,544.1360000000001,2,1,1,4,Lost
33,59.0,7.0,6493.780499999999,4,5,4,13,Champions
34,315.0,6.0,13428.582,2,5,5,12,Loyal
35,26.0,3.0,1961.15,5,2,2,9,Potential
36,137.0,5.0,5758.7235,3,4,4,11,Loyal
37,86.0,3.0,2349.319,4,2,2,8,Potential
38,206.0,2.0,945.4365,2,1,1,4,Lost
39,279.0,1.0,753.5305000000001,2,1,1,4,Lost
40,122.0,1.0,1338.7055,3,1,1,5,At Risk
41,401.0,1.0,976.57,1,1,1,3,Lost
42,301.0,4.0,6582.437,2,3,4,9,Potential
43,206.0,4.0,3059.333,2,3,2,7,Potential
44,128.0,2.0,1331.411,3,1,1,5,At Risk
45,81.0,1.0,505.52250000000004,4,1,1,6,At Risk
46,505.0,2.0,1126.23,1,1,1,3,Lost
47,909.0,1.0,443.54,1,1,1,3,Lost
48,415.0,6.0,6122.769,1,5,4,10,Loyal
49,356.0,1.0,859.22,2,1,1,4,Lost
50,137.0,1.0,458.05,3,1,1,5,At Risk
51,57.0,3.0,3658.777,4,2,3,9,Potential
52,167.0,4.0,3379.9004999999997,3,3,3,9,Potential
53,8.0,5.0,4280.779500000001,5,4,3,12,Loyal
54,72.0,7.0,6094.4839999999995,4,5,4,13,Champions
55,377.0,5.0,4001.188,1,4,3,8,Potential
56,102.0,5.0,6576.287,4,4,4,12,Loyal
57,115.0,3.0,2271.3505000000005,3,2,2,7,Potential
58,97.0,4.0,4880.031,4,3,4,11,Loyal
59,28.0,2.0,1771.631,5,1,1,7,Potential
60,131.0,1.0,3627.5,3,1,3,7,Potential
61,195.0,4.0,2883.1969999999997,3,3,2,8,Potential
62,98.0,2.0,1542.4140000000002,4,1,1,6,At Risk
63,48.0,4.0,3285.7585,4,3,3,10,Loyal
64,65.0,3.0,2726.352,4,2,2,8,Potential
65,17.0,2.0,1408.854,5,1,1,7,Potential
66,243.0,4.0,26320.078500000003,2,3,5,10,Loyal
67,637.0,2.0,2397.36,1,1,2,4,Lost
68,969.0,1.0,1559.33,1,1,1,3,Lost
69,75.0,4.0,3378.3225,4,3,3,10,Loyal
70,31.0,5.0,3726.286,5,4,3,12,Loyal
71,419.0,4.0,3764.3904999999995,1,3,3,7,Potential
73,45.0,6.0,15013.646499999999,5,5,5,15,Champions
74,883.0,1.0,3312.8100000000004,1,1,3,5,At Risk
75,704.0,1.0,840.94,1,1,1,3,Lost
76,351.0,1.0,335.52000000000004,2,1,1,4,Lost
77,55.0,1.0,438.44,4,1,1,6,At Risk
78,100.0,3.0,4361.477499999999,4,2,3,9,Potential
79,60.0,4.0,3974.0685,4,3,3,10,Loyal
80,275.0,5.0,5837.7789999999995,2,4,4,10,Loyal
81,235.0,4.0,2303.6335000000004,2,3,2,7,Potential
82,34.0,7.0,8575.637999999999,5,5,5,15,Champions
83,306.0,4.0,5326.5955,2,3,4,9,Potential
84,9.0,5.0,8866.8565,5,4,5,14,Champions
85,183.0,2.0,5099.721500000001,3,1,4,8,Potential
86,127.0,4.0,3792.2565,3,3,3,9,Potential
88,331.0,5.0,37292.551999999996,2,4,5,11,Loyal
89,52.0,7.0,4597.376499999999,4,5,4,13,Champions
90,12.0,4.0,3350.5415,5,3,3,11,Loyal
91,82.0,3.0,5154.5115,4,2,4,10,Loyal
92,142.0,1.0,835.5799999999999,3,1,1,5,At Risk
93,120.0,6.0,6312.522,3,5,4,12,Loyal
94,86.0,7.0,10879.586500000001,4,5,5,14,Champions
95,4.0,7.0,6594.25,5,5,4,14,Champions
96,73.0,6.0,6392.983000000001,4,5,4,13,Champions
97,728.0,4.0,5791.179,1,3,4,8,Potential
98,376.0,1.0,1117.21,1,1,1,3,Lost
99,486.0,2.0,809.198,1,1,1,3,Lost
100,260.0,4.0,5361.876,2,3,4,9,Potential
101,56.0,10.0,13128.467999999999,4,5,5,14,Champions
